,Õ¡∂πŒ˜∫Ï ¡Ã¿√Ê,ª®∏Ú’Ùµ∞,À‚»ÿ…˙Ú∫,π„ Ωœ∫» ≥¶∑€,”„œ„»‚Àø∞Ë√Ê,”Ò÷Òƒœ±±–”—ºÕ»Ã¿,≈©∑Ú…Ω»™NFCπ˚÷≠100%≥»÷≠,ÏÀ÷Ì ÷,∆§µ∞ ›»‚÷‡,±¨≥¥÷Ì∏Œ,÷• øª‚≤® ø∂Ÿ¡˙œ∫,œ √¿˜≠”„,À·¿±Ã¿√Ê,∫ÀÃ“∆œÃ—∏…Õ¡Àæ,“‚Œƒƒ˚√ ÷≠,±¶±¶∞Ê≈£»‚≥¶∑€,∑¨«—Ï¿≈£ÎÓ,«Â≥¥æ’ª®≤À,¿±≥¥∫£¥¯Àø,¥–Ω™≥¥–∑,œ„πΩ∆»µ∞,À‚œ„¿±ª®º◊,–°≥¥—Ú—¸,◊‘÷∆÷Ì»‚∏¨,±¨≥¥À´Àø,Ãÿ¥ººŒ ø≤Æ∆°æ∆πﬁ◊∞,≈£»‚º¶µ∞≥¶∑€,µ≥≤Œª∆‹ŒÏ¿≈£Œ≤,ŒÂ…´≈¥√◊∑π(∆ﬂ…´),≥§≥«Ω—ƒΩ‚∞Ÿƒ…∫Ïæ∆∏…∫Ï∆œÃ—æ∆,◊Œ»ª—Ú≈≈,∞◊’∂º¶,œ„¿±±¨—Ú∏Œ,π˛∂˚±ı∆°æ∆πﬁ◊∞,«Â’Ù∫£”„,œ„À÷¡Ω≥‘¥Ûœ∫,∞ËÕ¡∂πÀø,38∂»Ω£ƒœ¥∫,¿∂¥¯∆°æ∆πﬁ◊∞,±‹∑ÁÃ¡≥¥–∑,¡π∞ËÀ‚»ÿŒ˜¿ºª®,±¨≥¥º¶≥·,Õ„∂π Ì◊–÷Ìπ«Ã¿,œ„øæ≈£≈≈,“ª∆∑œ„À÷≈∫,ŒÂœ„Ω¥¬ø»‚,¡π∞Ë¬‹≤∑Àø,¥ÛÀ‚‹»≤À,–°√◊ƒœπœ÷‡,øÏ≥¥ª∆˜≠,”ÕÏÀ¬È¿±œ∫,∑¨«—∏ ¿∂,π‘≤Ë€ËΩ∏Î◊”Ã¿,∞ŸÕ˛∆°æ∆πﬁ◊∞,»‚∂°«—◊”,Ã˙∞Â≈£»‚,¬È¿±–°¡˙œ∫,«€ª∆˜≠Àø,’≈‘£∆œÃ—æ∆’≈‘£≥‡œº÷È∏…∫Ï,Ï¡≥¥¥Û∞◊≤À,∞Ÿ¿Ôœ„ƒÃ”Õøæ∫Ïæ∆≈£»‚,∑¨«—µ∞Ã¿,√…π≈øæ—ÚÕ»,≈‡∏˘ª®≤À,≤ªº”“ªµŒ”ÕµƒÀ·ƒÃµ∞∏‚,∆°æ∆—º,ª∆”Õ«˙∆Ê±˝∏…,œ„πΩº¶»‚÷‡,µ∞Ã¢,∫Ïæ∆Õ¡∂π…’—ºÕ»,…Ω“©—¯…˙÷‡,œ„¿±∏Ø»È≥¥œ∫,¿±≥¥ˆœ”„,«Â’Ùµ˚”„,÷•¬Èøæ◊œ≤À,»˝Àø˜≠”„,«‡≥¥±‚∂π,∂ÁΩ∑”„Õ∑,∞◊∫˙Ω∑∫˙¬‹≤∑—Ú»‚Ã¿,∫ºΩ∑º¶’‰,¡π∞Ë∫£¥¯∂π—ø◊œ≤À,≈£ƒÃæÌ,ƒœπœË€ËΩ–°±˝∏…,≈Ã–∑’Ùµ∞,±±±˘—Û∆˚ÀÆ,¥Û¿Ì ØƒÃ”Õµ∞∏‚,ª∆ª®≤À≥¥ƒæ∂˙,øß∑»ƒÃœ„√Ê∞¸,À·¿±≈∫∂°,¿±≥¥ÃÔ¬›,÷ÿ«ÏÃÿ…´”Õ…’Õ√,ÀÆ÷Û”„,∫£¥¯Ω·∂π∏ØÃ¿,º¶µ∞°¢»‚ƒ©≥¶∑€,≥¨»À∆¯π„ Ω≥¶∑€,±˘Ã«∫Ï∂πﬁ≤√◊÷‡,¿œ Ω√Ê∞¸,42∂»∫£÷Æ¿∂,∆œÃ—ƒÃÀ÷(≥¨À÷œ„µƒ±˝∏…),√¿√Óæ¯¬◊÷Æ∞◊¡´ª®,∑¨«—Ï¿«Ôø˚,∏…π¯ÃÔº¶,∫Ïæ∆Ï¿—Ú»‚,∫⁄√◊¡µ…œ∆œÃ—,Œ˜πœ∫˙¬‹≤∑…≥¿≠,ŒÂ≤ ∂π,ª∆Œ≤¥¸ ÛŒ˜¿≠◊”∫Ï∆œÃ—æ∆,¬∂¬∂ŒﬁÃ«–”» ¬∂,÷Ω±≠µ∞∏‚,50∂»π≈æÆπ±æ∆,¿±≥¥ª®∏Ú,∑®π˙≤®∂˚∂‡AOC∏…∫Ï∆œÃ—æ∆‘≠,◊œ Ì√Ê∞¸æÌ,«€≤À≥¥—¸ª®,±˘’Úª®¬›,Ω”Ò¡º‘µ,≈£Œ≤Ã¿,53∂»√©Ã®,«‡µ∫∆°æ∆πﬁ◊∞,¥–”Õ¡π∞Ë≈∫∆¨,ƒœπœ÷• ø∞¸,Ω™¥–≥¥ª®–∑,≈‡∏˘◊œ≤ÀæÌ,’’…’º¶Õ»,¡π∞Ë≤§≤À,π‘≤»‚∫Ï∂π∞À±¶∑π,±¨≥¥˜≠¬µ,»˝…´¡π∞Ë ÷À∫Õ√,ŒÂ≤ ≈∫√Á,Ã«¥◊ﬁ¨«—¡Ô«‡ª®,52∂»„Ú÷›¿œΩ—,≈›Ω∑∑Ô◊¶,∑¨«—”–ª˙ª®≤À,π»µæ–°◊Ø,«ÂÀ¨∞Ë¡π√Ê,¥Ú¬±√Ê,∂¨πœ≥¥ø‡πœ,∞Ÿ¿Ôœ„ƒÃ”Õøæºtæ∆≈£»‚,¬∑“◊¿≠∑∆∫Ïæ∆∏…∫Ï,À‚œ„∞¸,ƒæ–ÎÕ„∂π,∂¿º“±°∫…œ œ∫≈£»‚æÌ,µπ¡¢’ÙÀÛ◊”–∑
1009,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1014,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1015,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1016,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1017,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
1019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
1021,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0
